S.no,Question,Answer
,,"No, the CSC Shubhlabh Plan does not offer any liquidity during the first five years. You cannot withdraw or surrender your investment"
1,Can I withdraw money from the CSC Shubhlabh Plan within the first five years?,completely or partially during this period.
2,What is the IndiaFirst CSC Shubhlabh Plan?,It is a low premium insurance CSC Shubhlabh Plan that helps you build savings while providing life cover.
3,How does this CSC Shubhlabh Plan help with saving for the future ?,It helps you build a corpus through regular interest additions and ensures you are protected against life's unexpected turns.
4,What is the minimum floor rate guaranteed by the CSC Shubhlabh Plan?,The CSC Shubhlabh Plan guarantees a minimum floor rate of 1.0% per annum on the account value during the CSC Shubhlabh Plan term.
5,What modes of premium payment are available in CSC Shubhlabh Plan?,"You can pay your premium monthly, half-yearly, or yearly."
6,How long do I need to pay premiums for this CSC Shubhlabh Plan?,You can choose to pay premiums for either 10 or 15 years.
7,What happens if the life assured passes away during the CSC Shubhlabh Plan term?,A lump sum death benefit is paid to the nominee.
8,Can I enroll in this CSC Shubhlabh Plan easily?,"Yes, you can enjoy hassle-free enrollment by providing your name and Aadhar number."
9,Does the CSC Shubhlabh Plan provide any protection for my family?,"Yes, the CSC Shubhlabh Plan provides a lump sum death benefit to the nominee in case of the life assured's untimely demise."
10,Is there flexibility in premium payments in CSC Shubhlabh Plan?,"Yes, you can choose to pay premiums as per your convenience during the year."
11,Why should I save for the future in CSC Shubhlabh Plan?,Saving helps you achieve your financial goals and provides a cushion against emergencies.
12,What are the benefits of saving systematically in CSC Shubhlabh Plan?,It helps in building a corpus systematically and ensures consistent growth over time.
13,What is the purpose of the IndiaFirst CSC Shubhlabh Plan?,To help you build savings conveniently while providing life cover and ensuring financial security for your family.
14,Is this CSC Shubhlabh Plan suitable for someone looking for long-term savings?,"Yes, it is ideal for long-term savings with the flexibility to pay premiums for 10 or 15 years."
15,Can I change my premium payment mode later in CSC Shubhlabh Plan?,"The CSC Shubhlabh Plan generally allows flexibility, but you should check specific terms and conditions for changes."
16,How is the account value of the CSC Shubhlabh Plan managed?,The account value grows through guaranteed interest additions during the CSC Shubhlabh Plan term.
17,What is a corpus in the context of this CSC Shubhlabh Plan?,A corpus refers to the total savings accumulated in your account over time.
18,Is there any life cover provided in this CSC Shubhlabh Plan?,"Yes, the CSC Shubhlabh Plan includes a life cover that pays out a death benefit in case of the life assured's demise."
19,How can I secure my family’s future with this CSC Shubhlabh Plan?,"By building savings and ensuring a death benefit payout, you secure your family's financial future."
20,What documents do I need to enroll in this CSC Shubhlabh Plan?,You need to provide your name and Aadhar number for enrollment.
,,"On maturity, you receive a lump sum amount that is the higher of the total premiums paid (including top-ups and less any partial"
21,What do you receive at the end of the CSC Shubhlabh Plan term?,"withdrawals) compounded at 1% per annum, or the accumulated account value."
,,"The maturity amount is calculated as the higher of the total premiums paid (including top-ups) compounded at 1% per annum, or the"
22,How is the maturity amount calculated in CSC Shubhlabh Plan?,accumulated account value.
23,How will the maturity amount be paid in CSC Shubhlabh Plan?,The maturity amount will be paid through a bank account using NEFT or RTGS.
,,"If the life assured dies while the CSC Shubhlabh Plan is active with life cover, a lump sum amount is paid to the nominee, appointee, or legal"
,,"heir. This amount is the higher of the sum assured, 105% of total premiums paid (including top-ups), total premiums paid compounded at"
24,What happens if the life assured dies while theCSC Shubhlabh Plan is in force with life cover?,"1% per annum, or the account value."
,,"If the life assured dies while the CSC Shubhlabh Plan is in paid-up status, a lump sum amount equal to the higher of the paid-up sum"
25,What happens if the life assured dies while the CSC Shubhlabh Plan is in paid-up status?,"assured or the accumulated account value is paid to the nominee, appointee, or legal heir."
26,What is the Premium Allocation Charge in the first year in CSC Shubhlabh Plan?,The Premium Allocation Charge in the first year is 20% of the annualized premium.
27,Is there a Premium Allocation Charge for Top-Up premiums in CSC Shubhlabh Plan?,"No, there is no allocation charge on Top-Up premiums."
28,What is the Fund Management Charge under the CSC Shubhlabh Plan?,The Fund Management Charge is not applicable.
29,What is the Mortality Charge under the CSC Shubhlabh Plan?,"The Mortality Charge is expressed in rupees per 1000 sum at risk, and it is guaranteed throughout the term."
30,Is there a Discontinuance Charge?,"No, there is no Discontinuance Charge."
31,Who bears the service tax under the CSC Shubhlabh Plan?,The service tax will be borne by the policyholder.
,,"Yes, you can cancel your CSC Shubhlabh Plan during the free look period, which is within the first 15 days from receiving your CSC"
32,Can you cancel your CSC Shubhlabh Plan during the free look period?,Shubhlabh Plan details.
33,What refund do you get if you cancel yourCSC Shubhlabh Planduring the free look period?,"You will receive a refund of the premium paid minus pro-rata mortality charge, medical fees (if any), and any stamp duty paid."
,What is the death benefit if the life assured commits suicide within 12 months from the CSC Shubhlabh Plan,
34,commencement?,"The death benefit payable will be limited to 80% of the total premiums paid, including any top-up premiums paid."
,,"If the life assured commits suicide within one year of reinstatement, the higher of 80% of total premiums paid or the account value will be"
35,What happens if the life assured commits suicide within one year of reinstatement?,paid.
,,"Section 41 prohibits offering or accepting rebates of commission or premium, except as allowed by the insurer’s published prospectuses or"
36,"What does Section 41 of the Insurance Act, 1938 prohibit?",tables.
,,Section 45 allows a policy to be called into question within three years from the policy issuance on grounds of fraud or misstatement. After
37,What are the consequences of making false or incorrect submissions according to Section 45?,"three years, the policy cannot be called into question except for fraud."
38,What is the shareholding pattern of IndiaFirst Life Insurance as of the latest update?,"The shareholding pattern is Bank of Baroda – 65%, Union Bank of India – 9%, and Carmel Point Investments India Private Limited – 26%."
,,"Exclusions include suicide, war, terrorism, criminal activity, poison, service in armed forces, participation in dangerous activities, and"
39,What exclusions apply to Accidental Death Benefit?,nuclear contamination.
How does the policy handle coverage for experimental treatments or clinical trials in dreams plan?,Coverage for experimental treatments or clinical trials may be limited or require specific riders. Policyholders should review their policy terms or discuss coverage options with their insurer.
What are the policyholder’s options for modifying their coverage based on changing life circumstances in dreams plan?,"Modifying coverage based on changing life circumstances may involve adjusting coverage amounts, adding or removing riders, or updating policy terms. Policyholders should work with their insurer to make necessary changes."
How does the policy accommodate policyholders who have multiple policies with the same insurer in dreams plan?,"Insurers may offer coordination of benefits, discounts, or special provisions for policyholders with multiple policies. Details and benefits depend on the insurer’s policies and offerings."
Are there any special provisions for policyholders with high-risk occupations in dreams plan?,High-risk occupations may require additional coverage or higher premiums. Insurers may offer specialized provisions or riders to address the increased risk.
What are the steps for policyholders to update their coverage based on life events in dreams plan?,"Updating coverage based on life events involves contacting the insurer, providing updated information, and possibly completing forms or undergoing additional underwriting. The insurer will adjust the policy accordingly."
How does the policy address coverage for long-term care services in dreams plan?,"Coverage for long-term care services may include benefits for nursing home care, in-home care, or assisted living. The specifics depend on the policy terms and available riders."
What are the options for policyholders to appeal or dispute policy terms in dreams plan?,"Policyholders can appeal or dispute policy terms by submitting a formal complaint or appeal to the insurer, providing supporting documentation, or seeking external review if necessary."
How does the policy handle coverage for preventive screenings and vaccinations in dreams plan?,Coverage for preventive screenings and vaccinations may be included in the policy or available through specific benefits. The extent of coverage and specific services depend on the policy terms.
Are there any options for policyholders to receive premium discounts for healthy lifestyle choices in dreams plan?,"Some insurers offer premium discounts for healthy lifestyle choices, such as regular exercise or maintaining a healthy weight. Discounts and eligibility criteria vary by insurer."
How does the policy accommodate policyholders with unique or complex medical conditions in dreams plan?,Policies may offer specialized coverage or benefits for unique or complex medical conditions through additional riders or endorsements. Policyholders should work with their insurer to tailor their coverage.
What are the options for policyholders to adjust their policy based on changes in family size in dreams plan?,"Adjusting a policy based on changes in family size may involve adding or removing coverage for dependents, updating beneficiaries, or modifying policy terms. Policyholders should discuss changes with their insurer."
How does the policy support policyholders in managing their overall health and wellness in dreams plan?,"Support for managing overall health and wellness may include access to wellness programs, preventive care, and health management resources. Coverage details and support vary by insurer and policy."
What are the steps for policyholders to ensure their policy remains up-to-date with current needs in dreams plan?,"Ensuring a policy remains up-to-date involves regular reviews, discussing changes with the insurer, and adjusting coverage as needed based on life events or changing circumstances."
Questions,Answers
what is the minimum age entry of protection plus plan policy?,minimum age is 18 years.
what is the maximum age entry of protection plus plan policy?,maximum age is 65 years
how much is the minimum yearly premium in protection plus plan?,Rs 2400
how much is the minimum half-yearly premium in protection plus plan?,Rs 1200
how much is the minimum quarterly premium in protection plus plan?,Rs 600
how much is the minimum monthly premium in protection plus plan?,Rs 200
how much is the minimum single premium in protection plus plan?,Rs 100
how much is the maximum yearly premium in protection plus plan?,no limit
how much is the maximum half-yearly premium in protection plus plan?,no limit
how much is the maximum quarterly premium in protection plus plan?,no limit
how much is the maximum monthly premium in protection plus plan?,no limit
how much is the maximum single premium in protection plus plan?,no limit
what are the coverage options available in protection plus plan?,"life option , return of premium option , and smart life option."
what is the minimum policy term In life option for limited premium and single premium in protection plus plan?,"limited premium : 10 years , single premium : 1 month"
what is the minimum policy term In return of premium option for limited premium and single premium in protection plus plan?,"limited premium : 10 years , single premium : 10 years"
what is the minimum policy term In smart life option for limited premium and single premium in protection plus plan?,"limited premium : 10 years , single premium : 10 years"
what is the maximum policy term In life option for limited premium and single premium in protection plus plan?,"limited premium : 81 years , single premium : 20 years"
what is the maximum policy term In return of premium option for limited premium and single premium in protection plus plan?,"limited premium : 67 years , single premium : 20 years"
what is the maximum policy term In smart life option for limited premium and single premium in protection plus plan?,"limited premium : 81 years , single premium : 20 years"
what is Premium Paying term (ppt) for life option in protection plus plan?,5 years to 47 years
what is the maximum maturity age for life option in protection plus plan?,99 years.
what is the maximum maturity age for return of premium option in protection plus plan?,85 years
what is the maximum maturity age for smart life option in protection plus plan?,99 years.
what is the minimum sum assured in life option in protection plus plan?,Rs 5000000
what is the minimum sum assured in return of premium option in protection plus plan?,Rs 2500000
what is the minimum sum assured in smart life option in protection plus plan?,Rs 7500000
what is the maximum sum assured in life option in protection plus plan?,no limit
what is the maximum sum assured in return of premium option in protection plus plan?,no limit
what is the maximum sum assured in smart life option in protection plus plan?,no limit
What happens if I want to increase the sum assured during the policy term in protection plus plan?,"You can increase the sum assured without additional underwriting during life events such as marriage, childbirth, or taking a home loan."
Is there an option to reduce the sum assured in protection plus plan?,"Yes, the sum assured can be reduced by 50% after reaching certain ages (55, 60, 65, or 70), depending on the Smart Life Option."
What additional benefits are available under this plan in protection plus plan?,Additional benefits include the Waiver of Premium option for critical illnesses and coverage for a spouse under the Joint Life Option.
What happens if I am diagnosed with a terminal illness in protection plus plan?,"Under the selected coverage option, the sum assured is payable, and the policy terminates upon diagnosis of a terminal illness."
Can I insure my spouse under the same policy in protection plus plan?,"Yes, the policy provides an option to cover your spouse with an additional cover of up to 50% of the primary life’s sum assured."
How long does the coverage last in protection plus plan?,"The coverage can last up to the age of 99 years, depending on the option chosen."
What happens if I miss paying my premiums in protection plus plan?,"The policy will lapse after the grace period, but it can be revived within five years by paying the unpaid premiums with interest."
Are there any critical illness benefits in protection plus plan?,"Yes, the Waiver of Premium benefit waives future premiums if you are diagnosed with any of the 40 listed critical illnesses or suffer from Accidental Total Permanent Disability."
